[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},74.12792542238857
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},70.65461589352444
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},91.42360950444076
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},89.68683716801453
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},78.58039778815042
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},90.46856835727857
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},77.58265758847857
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},87.00717685558857
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},85.48089116731225
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},81.63225379566035
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},98.38810149407979
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},87.0889337786076
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},87.32914234628757
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},68.57221456086323
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},86.32046310235047
