s,p,o
http://xmlns.com/foaf/0.1/age,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://xmlns.com/foaf/0.1/age,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,unstable
http://xmlns.com/foaf/0.1/age,http://www.w3.org/2000/01/rdf-schema#label,age
http://xmlns.com/foaf/0.1/age,http://www.w3.org/2000/01/rdf-schema#comment,The age in years of some agent.
http://xmlns.com/foaf/0.1/age,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#FunctionalProperty
http://xmlns.com/foaf/0.1/age,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://xmlns.com/foaf/0.1/age,http://www.w3.org/2000/01/rdf-schema#domain,http://xmlns.com/foaf/0.1/Agent
http://xmlns.com/foaf/0.1/age,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Literal
http://xmlns.com/foaf/0.1/age,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://xmlns.com/foaf/0.1/
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2000/01/rdf-schema#label,Coastal
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Environmental_Region
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2002/07/owl#disjointWith,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Hills
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2002/07/owl#disjointWith,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Mountains
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2002/07/owl#disjointWith,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#OffShore
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2002/07/owl#disjointWith,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#OnShip
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2002/07/owl#disjointWith,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Plains
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Coastal,http://www.w3.org/2002/07/owl#disjointWith,http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Space
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,archaic
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/2000/01/rdf-schema#label,Surname
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/2000/01/rdf-schema#comment,The surname of some person.
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/2000/01/rdf-schema#domain,http://xmlns.com/foaf/0.1/Person
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Literal
http://xmlns.com/foaf/0.1/surname,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://xmlns.com/foaf/0.1/
file:/C:/Users/User/Desktop/final%20ontologies%20for%20thesis/original%20ontologies/ka.owl#Project,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
file:/C:/Users/User/Desktop/final%20ontologies%20for%20thesis/original%20ontologies/ka.owl#Project,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:b0
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2002/07/owl#equivalentProperty,http://purl.org/dc/terms/creator
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,stable
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2002/07/owl#Thing
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2002/07/owl#inverseOf,http://xmlns.com/foaf/0.1/made
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2000/01/rdf-schema#label,maker
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2000/01/rdf-schema#comment,An agent that  made this thing.
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://xmlns.com/foaf/0.1/
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/2000/01/rdf-schema#range,http://xmlns.com/foaf/0.1/Agent
http://xmlns.com/foaf/0.1/maker,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
file:/C:/Users/User/Desktop/final%20ontologies%20for%20thesis/original%20ontologies/ka.owl#mailingLists,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
file:/C:/Users/User/Desktop/final%20ontologies%20for%20thesis/original%20ontologies/ka.owl#title,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Region,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://mapekus.fiit.stuba.sk/mapekus/ontologies/v0.2/region#Region,http://www.w3.org/2000/01/rdf-schema#label,Region
http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#title,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#title,http://www.w3.org/2000/01/rdf-schema#label,title
http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#AdministrativeStaff,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#AdministrativeStaff,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#Employee
http://www.mindswap.org/ontologies/debugging/university.owl#Library,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
file:/C:/Users/User/Desktop/final%20ontologies%20for%20thesis/original%20ontologies/ka.owl#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2003/06/sw-vocab-status/ns#term_status,testing
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2000/01/rdf-schema#label,depiction
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2000/01/rdf-schema#comment,A depiction of some thing.
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2002/07/owl#Thing
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2000/01/rdf-schema#range,http://xmlns.com/foaf/0.1/Image
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://xmlns.com/foaf/0.1/
http://xmlns.com/foaf/0.1/depiction,http://www.w3.org/2002/07/owl#inverseOf,http://xmlns.com/foaf/0.1/depicts
http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#researchInterest,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#DatatypeProperty
http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#researchInterest,http://www.w3.org/2000/01/rdf-schema#label,is researching
