0,0.1,0.2
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al3
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,PLW
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661num
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,876
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/geography/geography#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#fips
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,JA
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/measurement#Measurement
,http://telegraphis.net/ontology/measurement/measurement#quantityMeasured,http://www.telegraphis.net/ontology/measurement/quantity#Area
,http://telegraphis.net/ontology/measurement/measurement#unit,http://www.telegraphis.net/ontology/measurement/metric#SquareKilometre
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,268680
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al2
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,MN
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661num
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,612
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#capital,http://telegraphis.net/data/capitals/ES/Madrid#Madrid
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#isoShortName,ESPAGNE
http://telegraphis.net/data/countries/ES#ES,http://www.geonames.org/ontology#featureClass,http://www.geonames.org/ontology#A
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#onContinent,http://telegraphis.net/data/continents/EU#EU
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#isoAlpha2,ES
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/ES#ES,http://www.geonames.org/ontology#population,40491000
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#isoNumeric,724
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#currency,http://telegraphis.net/data/currencies/EUR#EUR
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#landArea,
http://telegraphis.net/data/countries/ES#ES,http://www.geonames.org/ontology#name,Spain
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#isoAlpha3,ESP
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/ES#ES,http://www.w3.org/2002/07/owl#sameAs,http://www4.wiwiss.fu-berlin.de/factbook/resource/Spain
http://telegraphis.net/data/countries/ES#ES,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.geonames.org/ontology#Country
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/geography/geography#isoShortName,SPAIN
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/ES#ES,http://www.geonames.org/ontology#featureCode,http://www.geonames.org/ontology#A.PCL
http://telegraphis.net/data/countries/ES#ES,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Spain
http://telegraphis.net/data/countries/ES#ES,http://www.w3.org/2002/07/owl#sameAs,http://www.geonames.org/countries/#ES
http://telegraphis.net/data/countries/ES#ES,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/ES#ES,http://www.w3.org/2002/07/owl#sameAs,http://sws.geonames.org/2510769/
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/geography/geography#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#fips
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,VI
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/measurement#Measurement
,http://telegraphis.net/ontology/measurement/measurement#quantityMeasured,http://www.telegraphis.net/ontology/measurement/quantity#Area
,http://telegraphis.net/ontology/measurement/measurement#unit,http://www.telegraphis.net/ontology/measurement/metric#SquareKilometre
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,116
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al2
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,NO
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/measurement#Measurement
,http://telegraphis.net/ontology/measurement/measurement#quantityMeasured,http://www.telegraphis.net/ontology/measurement/quantity#Area
,http://telegraphis.net/ontology/measurement/measurement#unit,http://www.telegraphis.net/ontology/measurement/metric#SquareKilometre
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,0.4
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al3
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,BHR
http://telegraphis.net/data/countries/RS#RS,http://www.geonames.org/ontology#featureClass,http://www.geonames.org/ontology#A
http://telegraphis.net/data/countries/RS#RS,http://www.geonames.org/ontology#population,10159000
http://telegraphis.net/data/countries/RS#RS,http://www.w3.org/2002/07/owl#sameAs,http://www4.wiwiss.fu-berlin.de/factbook/resource/Serbia
http://telegraphis.net/data/countries/RS#RS,http://www.w3.org/2002/07/owl#sameAs,http://sws.geonames.org/6290252/
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#isoShortName,SERBIA
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#onContinent,http://telegraphis.net/data/continents/EU#EU
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/RS#RS,http://www.w3.org/2002/07/owl#sameAs,http://www.geonames.org/countries/#RS
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/RS#RS,http://www.geonames.org/ontology#featureCode,http://www.geonames.org/ontology#A.PCL
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#capital,http://telegraphis.net/data/capitals/RS/Belgrade#Belgrade
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#isoAlpha2,RS
http://telegraphis.net/data/countries/RS#RS,http://www.geonames.org/ontology#name,Serbia
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#isoAlpha3,SRB
http://telegraphis.net/data/countries/RS#RS,http://www.w3.org/2002/07/owl#sameAs,http://dbpedia.org/resource/Serbia
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/measurement/code#hasCode,
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#currency,http://telegraphis.net/data/currencies/RSD#RSD
http://telegraphis.net/data/countries/RS#RS,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.geonames.org/ontology#Country
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#isoNumeric,688
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#isoShortName,SERBIE
http://telegraphis.net/data/countries/RS#RS,http://telegraphis.net/ontology/geography/geography#landArea,
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661num
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,831
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al3
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,NFK
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/measurement#Measurement
,http://telegraphis.net/ontology/measurement/measurement#quantityMeasured,http://www.telegraphis.net/ontology/measurement/quantity#Area
,http://telegraphis.net/ontology/measurement/measurement#unit,http://www.telegraphis.net/ontology/measurement/metric#SquareKilometre
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,14000000
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/measurement#Measurement
,http://telegraphis.net/ontology/measurement/measurement#quantityMeasured,http://www.telegraphis.net/ontology/measurement/quantity#Area
,http://telegraphis.net/ontology/measurement/measurement#unit,http://www.telegraphis.net/ontology/measurement/metric#SquareKilometre
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,1138910
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al3
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,BGD
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/geography/geography#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#fips
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,UK
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661num
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,499
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/geography/geography#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#fips
,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,SU
,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://telegraphis.net/ontology/measurement/code#Code
,http://telegraphis.net/ontology/measurement/code#inCodeScheme,http://telegraphis.net/data/countries/codeSchemes#iso31661al2
